instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000471,0.00026,3,9,8,123,19,6,0,6,1,1
ins-02,0.000475,0.000308,4,11,9,172,32,9,0,9,1,1
ins-03,0.000491,0.000453,4,13,10,245,40,11,0,10,1,1
ins-04,0.000505,0.000463,4,15,11,244,44,13,0,11,1,1
ins-05,0.000504,0.000874,4,17,12,523,75,26,0,14,1,1
ins-06,0.000523,0.000672,4,19,13,365,61,14,0,16,1,1
ins-07,0.000525,0.000871,4,19,13,470,68,17,0,16,1,1
ins-08,0.000556,0.000906,5,21,14,480,84,20,0,17,1,1
ins-09,0.000541,0.001071,5,21,14,559,93,26,0,18,1,1
ins-10,0.00073,0.003065,5,25,16,1326,246,100,0,31,1,1
ins-11,0.000664,0.422643,5,33,20,140797,49491,24715,0,43,1,1
ins-12,0.000592,0.001869,5,29,18,798,138,33,0,28,1,1
ins-13,0.00058,0.003062,5,29,18,1320,215,84,0,43,1,1
ins-14,0.000599,0.097603,6,31,19,36579,8432,4187,0,50,1,1
ins-15,0.000645,0.003546,6,33,20,1275,199,57,0,33,1,1
ins-16,0.000668,0.08334,6,39,23,32662,8011,3960,0,44,1,1
ins-17,0.000692,4.92547,6,37,22,2097976,347217,173569,0,53,1,1
ins-18,0.000711,0.084067,6,39,23,19033,3895,1897,0,36,1,1
ins-19,0.000748,17.2226,6,45,26,3635198,936970,468433,0,56,1,1
ins-20,0.000691,84.5779,6,43,25,18812215,3828471,1914185,0,48,1,1
ins-21,0.000733,13.6635,6,45,26,2887812,661475,330683,0,55,1,1
ins-22,0.000774,300.0,5,49,28,57196348,13794769,6897336,0,69,1,0
ins-23,0.000679,0.005865,6,41,24,1707,291,88,0,48,1,1
ins-24,0.000669,0.028054,6,39,23,12107,2816,1360,0,38,1,1
ins-25,0.000798,300.0,6,55,31,48272056,11235823,5617835,0,75,1,0
ins-26,0.000805,300.0,6,47,27,62395737,16949852,8474868,0,71,1,0
ins-27,0.000703,35.7632,7,43,25,8679603,1798080,898982,0,58,1,1
ins-28,0.00071,300.0,5,45,26,65153525,16490966,8245423,0,55,1,0
ins-29,0.000763,300.0,2,47,27,66152290,9250347,4625141,0,75,1,0
ins-30,0.000778,300.0,6,55,31,48510765,14991094,7495483,0,90,1,0
