name,time,h,max_h,status
ins-01,0.06101,8.0,16,1
ins-02,0.02101,9.0,23,1
ins-03,0.01580,10.0,25,1
ins-04,0.03082,11.0,26,1
ins-05,0.05104,12.0,35,1
ins-06,0.05567,13.0,36,1
ins-07,0.10878,14.0,42,1
ins-08,0.16131,15.0,51,1
ins-09,0.06369,16.0,52,1
ins-10,0.27982,17.0,55,1
ins-11,0.95520,18.0,63,1
ins-12,8.53456,19.0,76,1
ins-13,1.51134,20.0,80,1
ins-14,1.43433,21.0,84,1
ins-15,1.74112,22.0,97,1
ins-16,50.60128,23.0,102,1
ins-17,210.90179,24.0,108,1
ins-18,78.50286,25.0,124,1
ins-19,300.07408,27.0,130,1
ins-20,300.01971,28.0,135,1
ins-21,300.07552,29.0,140,1
ins-22,300.02430,30.0,145,1
ins-23,300.01853,31.0,135,1
ins-24,29.25805,31.0,140,1
ins-25,300.02878,34.0,192,1
ins-26,8.98507,33.0,182,1
ins-27,300.02018,35.0,170,1
ins-28,300.03257,36.0,158,1
ins-29,300.02190,37.0,180,1
ins-30,300.05135,38.0,185,1
ins-31,272.35357,38.0,133,1
ins-32,300.03200,41.0,176,1
ins-33,142.38970,40.0,160,1
ins-34,300.02461,41.0,139,1
ins-35,53.57527,40.0,130,1
ins-36,300.20035,41.0,135,1
ins-37,300.04703,61.0,215,1
ins-38,300.03623,61.99999999999952,205,1
ins-39,300.03054,61.0,209,1
ins-40,300.23351,99.0,355,1
